iter	Logloss
0	0.521523649
1	0.40116166
2	0.3169690739
3	0.2581904204
4	0.2165158872
5	0.1871869439
6	0.1662236289
7	0.1511170086
8	0.1399187264
9	0.1318065245
10	0.1256935086
11	0.1211519618
12	0.1177339863
13	0.1151608715
14	0.1130878942
15	0.1115426898
16	0.1101290883
17	0.1087929253
18	0.1080390463
19	0.1073657194
20	0.1068841918
21	0.1063753006
22	0.105993521
23	0.1056851864
24	0.1052750937
25	0.1049591737
26	0.1046699876
27	0.1044295533
28	0.1041590397
29	0.1039282801
30	0.103764449
31	0.1035753958
32	0.103341258
33	0.1032167985
34	0.1030948286
35	0.1029207972
36	0.1027902586
37	0.1026181741
38	0.1024080461
39	0.1023019173
40	0.102012495
41	0.1017220458
42	0.1015569904
43	0.1013757888
44	0.1012758633
45	0.1011054108
46	0.1009949627
47	0.10077706
48	0.1006631359
49	0.1005700094
50	0.1004554118
51	0.1003514033
52	0.1002340208
53	0.1000782106
54	0.1000029576
55	0.0999169445
56	0.09982777025
57	0.09968197848
58	0.09958742524
59	0.09943539661
60	0.09931716641
61	0.09922106105
62	0.09907846113
63	0.09893479583
64	0.09885450367
65	0.09876928018
66	0.09859142461
67	0.09846211142
68	0.09834019617
69	0.09821936569
70	0.0981464601
71	0.09804102448
72	0.09790525971
73	0.09782451152
74	0.09772046996
75	0.09760718579
76	0.09744617775
77	0.09733209768
78	0.09725523194
79	0.09717994522
80	0.09706106446
81	0.09695001571
82	0.09686711361
83	0.09672437721
84	0.09664915313
85	0.09654310819
86	0.09641697161
87	0.09634422281
88	0.09622540497
89	0.09611751711
90	0.09600829542
91	0.09588303655
92	0.09580264568
93	0.09571289748
94	0.09561061805
95	0.09541275078
96	0.09525289494
97	0.09506203401
98	0.09490938442
99	0.0947879841
100	0.09466500914
101	0.09455685869
102	0.09449255276
103	0.09437334654
104	0.09433150357
105	0.09420328237
106	0.09413193422
107	0.09401409129
108	0.09390246347
109	0.09381782615
110	0.09370267933
111	0.09359583397
112	0.09351919264
113	0.09340549982
114	0.09331924394
115	0.09319044449
116	0.09312152692
117	0.09306080423
118	0.0928781646
119	0.09277196073
120	0.09264251092
121	0.09252627939
122	0.09242940504
123	0.09231170342
124	0.09221733059
125	0.09206926481
126	0.09195889196
127	0.09185860607
128	0.09175792904
129	0.09168869889
130	0.09155686243
131	0.09144933945
132	0.09129630181
133	0.09119721416
134	0.09107729189
135	0.09100232838
136	0.09091051008
137	0.09081873784
138	0.09072040891
139	0.09063279443
140	0.09052963219
141	0.09038563294
142	0.09031627153
143	0.09022665657
144	0.09012875149
